Designator,MidX,MidY,Layer,Rotation
C1,8.5,87,Bottom,270
C2,13.5,87,Bottom,270
C3,46.5,87,Bottom,270
C4,51.5,87,Bottom,270
C5,16.5,78,Bottom,90
C6,15,78,Bottom,90
C7,31.6,88.4,Bottom,270
C8,41.9,81.5,Bottom,90
C9,39,83.9,Bottom,180
C10,20.4,86.5,Bottom,180
C12,27.6,88.4,Bottom,90
D1,16.5,72,Bottom,45
D2,35.5,72,Bottom,45
D3,54.5,72,Bottom,45
D4,16.5,53,Bottom,45
D5,35.5,53,Bottom,45
D6,54.5,53,Bottom,45
D7,16.5,34,Bottom,45
D8,35.5,34,Bottom,45
D9,54.5,34,Bottom,45
D10,16.5,15,Bottom,45
D11,35.5,15,Bottom,45
D12,54.5,15,Bottom,45
D13,11,93,Bottom,180
D14,49,93,Bottom,0
D15,24.2,89.1,Bottom,180
IC1,30,81.5,Bottom,270
R1,7.1,84,Bottom,270
R2,14.9,84,Bottom,270
R3,45.2,84,Bottom,270
R4,52.8,84,Bottom,270
R5,8.5,84,Bottom,270
R6,13.5,84,Bottom,90
R7,46.5,84,Bottom,270
R8,51.5,84,Bottom,90
R9,35.5,83.9,Bottom,0
R10,39,77.6,Bottom,0
R11,39,79,Bottom,0
R12,30.3,88.4,Bottom,270
R13,28.9,88.4,Bottom,270
R14,16.5,84,Bottom,270
R15,20.4,85,Bottom,180
X1,39,81.5,Bottom,0
